,centerX,centerY,width_box,height_box,axis,rotation,num_labels
18006,206.49127552664464,255.0028800208001,185.0,298.0,vertical_axis,0.3329297819218908,30
10193,208.5000000223517,256.99999998509884,418.99999673664576,513.9999938309194,vertical_axis,0.0,5
27360,209.5,51.5,420.0,102.0,vertical_axis,0.0,7
26006,209.5,461.0,417.0,103.0,vertical_axis,0.0,4
27358,55.5,256.5,111.0,303.0,vertical_axis,0.0,11
4818,363.0,254.0,113.0,302.0,vertical_axis,0.0,11
22889,207.00000004470348,50.00000306963915,419.9999967217447,102.99999995529656,horizontal_axis,0.0,4
26005,55.0,252.0,108.0,303.0,horizontal_axis,0.0,3
22887,363.9999977052212,256.99999998509884,109.00000135600568,300.9999970048667,horizontal_axis,0.0,3
22890,209.0000000149012,458.9999969750643,419.9999967217447,102.99999995529656,horizontal_axis,0.0,4
