,centerX,centerY,width_box,height_box,axis,rotation,num_labels
5198,160.5000014230609,250.0,340.9999978989364,148.99999926984316,vertical_axis,0.0,9
6977,210.6502287209952,89.13542407603765,200.0,82.0,vertical_axis,5.850427250435601,17
770,444.4716172189055,122.37562730077906,143.0000008493662,78.00000032782555,vertical_axis,8.641423947373525,4
21613,53.10152799727109,94.9607295296745,111.0,64.0,vertical_axis,-8.127228070152,7
5206,445.9999971687794,437.4999972060323,159.00000061094758,129.99999955296516,vertical_axis,0.0,4
8438,460.5,244.5,31.0,77.0,vertical_axis,0.0,7
2146,256.5,323.0,63.0,86.0,vertical_axis,0.0,18
3505,157.20866323189438,239.3322325610168,343.99999785423284,143.99999934434896,horizontal_axis,3.117592750190184,7
5205,175.00000120699406,497.999996304512,159.00000061094758,95.0000000745058,vertical_axis,0.0,3
9914,349.5845181969046,91.53906750889476,364.0,100.0,vertical_axis,10.33891054294105,9
29116,378.9999981671572,43.50000307708979,120.00000119209284,56.00000065565109,vertical_axis,0.0,4
