,centerX,centerY,width_box,height_box,axis,rotation,num_labels
28534,290.0,182.0,259.0,60.0,horizontal_axis,0.0,8
16305,154.0,226.0,68.0,67.0,vertical_axis,0.0,41
3483,391.4617564609356,286.3365426582159,51.00000222027296,197.9999985396862,vertical_axis,-77.98120102420182,5
4064,456.5047199262434,270.84668369249044,120.00000238418562,29.00000211596489,horizontal_axis,9.22390146412866,6
4063,391.7356735844379,286.1023612240118,213.99999958276743,46.00000160932541,horizontal_axis,12.124015467235353,12
15153,80.00000262260426,174.49999990314245,60.00000208616251,59.00000061094761,horizontal_axis,0.0,4
29579,484.9999965876341,77.50000134855503,54.000002175569534,156.9999991506338,vertical_axis,0.0,3
8191,294.5,169.5,325.0,115.0,vertical_axis,0.0,3
9119,82.0,175.0,200.0,100.0,horizontal_axis,0.0,3
32222,200.0,278.0,55.0,63.0,vertical_axis,-61.645038214675935,4
