,centerX,centerY,width_box,height_box,axis,rotation,num_labels
9036,118.0,250.5,83.0,111.0,vertical_axis,0.0,26
34557,110.0,81.5,142.0,143.0,vertical_axis,0.0,23
33937,254.99999998591164,119.99999912652096,88.99999843619074,105.00000007044189,vertical_axis,6.123649985758632,21
2034,257.50251024116346,117.94996061698276,79.0,100.0,horizontal_axis,5.743706192124989,4
33936,108.4999979219652,82.49999859820701,88.99999843619074,105.00000007044189,horizontal_axis,0.0,3
22388,384.7757044291413,147.64682000270648,88.0,120.0,vertical_axis,5.503842848527711,17
2037,115.0,251.5,92.0,99.0,horizontal_axis,0.0,3
28551,479.0,115.0,80.0,100.0,vertical_axis,0.0,6
2752,107.0,83.0,150.0,153.0,horizontal_axis,0.0,6
11758,464.0,240.5,60.0,131.0,vertical_axis,0.0,6
17668,117.38245617281063,249.17393208209268,200.0,135.9999994635582,vertical_axis,0.448008144931407,3
