,centerX,centerY,width_box,height_box,axis,rotation,num_labels
5938,254.5,253.0,391.0,479.0,vertical_axis,0.0,26
12680,256.0,252.5,394.0,486.0,horizontal_axis,0.0,16
2092,203.6534940971951,371.4025817352834,96.0,49.0,vertical_axis,0.2357837698766189,3
3232,204.5,135.5,97.0,50.0,vertical_axis,0.0,3
2098,256.5,443.0,195.0,100.0,vertical_axis,0.0,4
3237,256.5,60.0,194.0,97.0,vertical_axis,0.0,3
4233,256.0,252.5,200.0,281.0,horizontal_axis,0.0,9
28578,256.0,252.0,200.0,284.0,vertical_axis,0.0,13
31969,256.0,255.5,508.0,495.0,vertical_axis,0.0,3
15975,257.0,252.5,202.0,477.0,vertical_axis,0.0,3
