,centerX,centerY,width_box,height_box,axis,rotation,num_labels
33774,373.5,341.5,157.0,143.0,vertical_axis,0.0,12
25364,223.5,274.5,150.0,141.0,vertical_axis,0.0,20
34568,96.0,161.0,135.0,132.0,vertical_axis,0.0,11
25362,72.0,299.0,91.0,87.0,vertical_axis,0.0,8
25360,145.5,398.5,91.0,87.0,vertical_axis,0.0,10
10804,165.0,62.0,85.0,85.0,vertical_axis,0.0,10
25361,254.0,122.0,91.0,87.0,vertical_axis,0.0,9
17785,351.0,77.0,81.0,78.0,vertical_axis,0.0,6
5659,361.0,178.0,92.0,91.0,vertical_axis,0.0,7
10803,266.0,420.0,85.0,85.0,vertical_axis,0.0,7
2351,252.0,126.0,200.0,100.0,vertical_axis,0.0,3
25700,222.0,273.0,142.0,128.0,horizontal_axis,0.0,9
4043,101.12757005112798,164.9280607813592,385.99999445676815,168.99999794363973,vertical_axis,-68.13415825673502,3
29156,374.4999982342124,341.4999985322357,173.00000040233135,154.9999991804361,horizontal_axis,0.0,7
5666,97.0,161.0,126.0,123.0,horizontal_axis,0.0,3
11477,144.5,397.0,92.0,90.0,horizontal_axis,0.0,3
17784,360.5,178.5,81.0,78.0,horizontal_axis,0.0,4
