,centerX,centerY,width_box,height_box,axis,rotation,num_labels
30879,61.14104334439571,237.57020016470065,372.0,150.0,horizontal_axis,-87.12976872017299,12
2066,281.5,141.5,49.0,69.0,horizontal_axis,0.0,4
24459,374.0,197.0,57.0,69.0,vertical_axis,0.0,15
24456,200.5,167.5,57.0,69.0,vertical_axis,0.0,13
24458,286.0,143.0,57.0,69.0,vertical_axis,0.0,8
26995,165.0,104.0,54.0,57.0,horizontal_axis,0.0,5
29667,246.0,156.0,200.0,100.0,vertical_axis,0.0,14
17691,284.7755998910916,149.20322510949643,308.0,150.0,vertical_axis,8.848414050852824,7
26997,306.0,40.5,160.0,82.0,vertical_axis,0.0,6
26996,401.0,135.0,54.0,57.0,horizontal_axis,0.0,3
