,centerX,centerY,width_box,height_box,axis,rotation,num_labels
33958,117.00000233120367,235.000000445048,176.00000050862627,100.0,vertical_axis,0.0,13
17907,349.0,345.0,200.0,100.0,vertical_axis,-6.21922968879116,8
18973,56.5,390.0,48.0,66.0,vertical_axis,0.0,15
32417,108.0,226.0,50.0,100.0,vertical_axis,0.0,11
6490,357.5,443.5,131.0,75.0,vertical_axis,9.78349533274573,3
17908,125.0,92.0,200.0,178.0,vertical_axis,0.0,8
15098,114.0,221.5,200.0,435.0,vertical_axis,0.0,3
32613,352.0082008792083,319.2764134026072,210.0,60.0,horizontal_axis,-13.283349867600563,7
20602,79.0,31.0,43.0,64.0,vertical_axis,0.0,3
20604,343.46793514782223,63.40803797720241,107.0,50.0,horizontal_axis,-49.380283196677965,3
32614,358.0,251.0,66.0,60.0,vertical_axis,-5.757058824984256,3
22403,277.3006937264762,99.64201578027078,47.0,155.0,vertical_axis,0.5828976410903124,3
