,centerX,centerY,width_box,height_box,axis,rotation,num_labels
10906,337.1360605537767,147.53699308877248,29.000002548098507,83.00000025331968,vertical_axis,-3.39336288703646,7
34507,130.0000037550925,226.99999922513967,168.00000095367432,189.9999973177912,horizontal_axis,0.0,4
4000,143.50000167638058,164.50000054389238,123.0000011473894,47.00000078976154,horizontal_axis,0.0,15
27053,140.5,164.0,107.0,30.0,vertical_axis,0.0,4
10907,390.22831405322495,139.06416583028158,26.00000259280199,110.99999983608716,horizontal_axis,-3.2763061319959945,7
28770,363.5890223326076,137.6460793142228,154.0,121.0,horizontal_axis,-6.397354127522803,6
5738,256.0,201.0,200.0,100.0,vertical_axis,0.0,3
15512,155.9999985911628,294.0000013102186,105.99999867569304,27.99999898563732,horizontal_axis,-2.1350702128569594,7
8308,252.0,200.0,454.0,306.0,horizontal_axis,0.0,6
13938,353.5549690461818,281.6440576170215,108.0,26.0,vertical_axis,-0.6696185891603648,3
27841,352.4999971240759,276.9999977350236,115.00000253319725,30.00000208616251,horizontal_axis,1.0530954447699372,5
25228,393.2697268635251,136.48959129685596,106.0,29.0,horizontal_axis,87.57888650703542,5
27056,390.0,136.0,106.0,30.0,vertical_axis,265.8295634751579,3
31712,253.5000000745058,196.0000001490116,488.99999138712906,309.9999937415125,vertical_axis,0.0,3
