,centerX,centerY,width_box,height_box,axis,rotation,num_labels
28972,254.00000005960464,125.50000138580792,200.0,132.99999901652336,vertical_axis,0.0,33
14028,430.49999479949497,139.50000096857548,60.00000417232508,133.99999898672104,vertical_axis,0.0,13
16037,477.49998844787547,250.499995905906,72.00000667571985,67.00000172108395,vertical_axis,0.0,16
21361,63.0,137.0,116.0,109.0,horizontal_axis,0.0,10
23017,352.4401140448955,124.84086006306148,50.0,136.0,vertical_axis,19.92928241418855,7
15294,151.4775615631438,132.85189546459463,69.0,132.0,vertical_axis,-17.230052713939756,10
5265,429.999997407198,137.00000052154064,45.00000230967996,118.999999716878,horizontal_axis,0.0,5
9407,477.0,244.0,67.0,66.0,horizontal_axis,0.0,8
31380,232.00000035762787,155.00000025331974,200.0,100.0,horizontal_axis,0.0,11
21204,62.0,138.5,114.0,112.0,vertical_axis,0.0,20
