,centerX,centerY,width_box,height_box,axis,rotation,num_labels
228,262.9999998956919,115.50000046938652,365.9999975264073,116.99999974668026,horizontal_axis,0.0,3
746,256.0,233.99999870359892,505.99999544024473,117.9999997317791,horizontal_axis,0.0,11
1008,130.50000187009573,112.50000051409006,109.00000135600568,114.99999977648258,vertical_axis,0.0,26
1009,262.9999998956919,114.00000049173832,109.00000135600568,114.99999977648258,vertical_axis,0.0,29
8075,395.0,113.0,104.0,116.0,vertical_axis,0.0,24
30880,254.0,149.0,512.0,298.0,vertical_axis,0.0,4
8449,261.0,109.5,378.0,123.0,vertical_axis,0.0,10
14392,192.0,190.5,28.0,33.0,vertical_axis,0.0,11
9031,471.0,235.0,52.0,44.0,horizontal_axis,0.0,4
14398,271.0,237.0,33.0,36.0,horizontal_axis,0.0,8
14386,418.0,236.0,34.0,35.0,vertical_axis,0.0,6
