,centerX,centerY,width_box,height_box,axis,rotation,num_labels
7512,288.5,172.5,383.0,265.0,vertical_axis,0.0,4
21983,49.0,158.0,92.0,87.0,vertical_axis,0.0,18
13146,377.0,383.5,202.0,57.0,vertical_axis,0.0,11
1220,41.0,327.0,86.0,76.0,vertical_axis,0.0,8
26226,284.0,153.0,200.0,100.0,horizontal_axis,88.77271321827901,4
14943,283.4350503129857,164.51182622253322,201.0,100.0,horizontal_axis,267.6015786659075,13
2743,436.0,300.0,75.0,63.0,vertical_axis,0.0,8
14561,282.4999993368983,176.50000118464226,244.9999993294477,220.9999981969595,vertical_axis,0.0,16
18258,237.50000000745052,434.4999973401427,473.9999959170819,74.00000038743019,vertical_axis,0.0,5
17816,135.0,343.5,62.0,81.0,vertical_axis,0.0,3
7513,45.0,160.0,83.0,103.0,horizontal_axis,0.0,3
15638,238.0,437.5,468.0,64.0,horizontal_axis,0.0,3
17164,152.0,437.5,300.0,85.0,vertical_axis,0.0,4
