,centerX,centerY,width_box,height_box,axis,rotation,num_labels
8338,251.0,254.0,200.0,204.0,vertical_axis,0.0,15
12780,257.4945889748891,254.96544016739068,395.0,438.0,vertical_axis,-0.3047619104210923,12
2930,415.7525947242134,77.0127482478643,120.0,226.0,vertical_axis,41.484487668042966,3
20621,248.0,256.0,486.0,500.0,horizontal_axis,0.0,12
30650,246.0000000745058,252.5000000521541,200.0,194.9999985843897,horizontal_axis,0.0,15
8340,260.1608377269604,254.3940572425209,273.0,265.0,vertical_axis,-46.19705104388876,5
25981,107.00000429153432,255.5000000149011,100.00000298023218,177.99999767541897,horizontal_axis,0.0,5
25978,247.0000001192093,96.00000476837148,168.00000095367432,113.99999958276754,vertical_axis,0.0,4
16714,261.0,412.5,154.0,119.0,vertical_axis,0.0,5
33327,391.5,262.0,124.0,168.0,horizontal_axis,0.0,4
32203,68.0,136.0,102.0,53.0,vertical_axis,44.56263613247926,3
