,centerX,centerY,width_box,height_box,axis,rotation,num_labels
13988,65.0000056922434,114.0000002682209,127.00000217556942,77.00000068545341,vertical_axis,0.0,27
11252,191.0,191.5,127.0,75.0,vertical_axis,0.0,31
13986,318.9999981224537,39.000002503395024,127.00000217556942,76.00000071525574,vertical_axis,0.0,5
7652,446.0,204.0,124.0,79.0,vertical_axis,0.0,27
19063,195.0,116.0,133.0,80.0,horizontal_axis,0.0,19
19065,447.0,122.0,133.0,80.0,horizontal_axis,0.0,21
2104,64.0,40.0,128.0,79.0,horizontal_axis,0.0,7
21578,320.4999990388751,168.9999993145466,125.00000111758708,152.9999992102385,vertical_axis,0.0,6
2786,384.5,41.5,255.0,76.0,horizontal_axis,0.0,3
4927,256.0,123.0,497.999995559454,84.00000023841858,horizontal_axis,0.0,7
19064,319.0,120.0,133.0,80.0,horizontal_axis,0.0,4
