,centerX,centerY,width_box,height_box,axis,rotation,num_labels
16051,209.00000010430813,279.9999987483025,235.9999981224538,260.99999160319635,horizontal_axis,0.0,6
25843,209.5000000223517,90.50000246614208,354.9999976903201,93.00000010430811,horizontal_axis,0.0,16
10359,212.5,267.5,391.0,481.0,vertical_axis,0.0,18
14412,209.5,261.5,374.0,484.0,horizontal_axis,0.0,6
29423,212.0,90.5,352.0,95.0,vertical_axis,0.0,8
23840,210.00000002980232,277.99999934434896,265.9999980330468,259.9999952316286,vertical_axis,0.0,19
3988,211.0,454.9999970346689,356.9999976605177,93.00000010430811,vertical_axis,0.0,10
1915,212.0,259.5,200.0,483.0,vertical_axis,0.0,3
29428,212.0,452.0,363.0,84.0,horizontal_axis,0.0,14
14408,209.0,286.0,200.0,148.0,vertical_axis,0.0,5
