,centerX,centerY,width_box,height_box,axis,rotation,num_labels
32744,222.00000050663948,226.99999956786635,47.000002279877606,72.00000041723251,vertical_axis,0.0,31
5835,69.0,129.5,132.0,95.0,horizontal_axis,0.0,8
3242,132.0,17.0,141.0,68.0,vertical_axis,0.0,14
11294,399.0,123.0,128.0,147.0,vertical_axis,0.0,11
5837,305.5087447327983,302.90689649605656,107.0,95.0,vertical_axis,10.731511720756473,3
3241,194.0,308.5,65.0,68.0,vertical_axis,0.0,12
34231,65.8751908898439,336.6968232986992,119.0,134.0,vertical_axis,-26.72508556202192,6
15120,70.15311225744682,128.89637068814932,129.00000105798233,84.00000023841858,vertical_axis,-0.6059231290346503,9
32412,194.0,306.0,63.0,66.0,horizontal_axis,0.0,16
7681,361.0,242.0,239.0,100.0,vertical_axis,0.0,3
7138,374.0,366.5,43.0,32.0,vertical_axis,0.0,4
10665,361.5,304.0,249.0,184.0,horizontal_axis,0.0,6
23038,361.5,303.5,251.0,183.0,vertical_axis,0.0,8
