,centerX,centerY,width_box,height_box,axis,rotation,num_labels
19367,209.0,198.5,82.0,49.0,vertical_axis,0.0,4
9983,209.00000099605973,198.00000019073485,87.00000239478192,53.000000996059725,horizontal_axis,0.0,16
22123,299.9999993443489,107.00000149011612,88.00000166893005,131.99999952316284,vertical_axis,0.0,15
1223,385.5,278.0,46.0,70.0,horizontal_axis,0.0,5
20940,104.0000022649764,80.00000189244736,60.00000208616251,54.00000068545336,vertical_axis,0.0,10
17871,62.0,229.0,80.0,108.0,horizontal_axis,0.0,3
13198,172.5,330.0,147.0,145.0,vertical_axis,0.0,6
2052,414.0,168.5,141.0,138.0,vertical_axis,0.0,4
1221,101.0,79.0,54.0,52.0,horizontal_axis,0.0,12
14776,436.5,76.0,50.0,37.0,vertical_axis,0.0,5
9985,66.00000402662454,228.99999953375925,74.00000267028787,111.9999997456868,vertical_axis,0.0,5
28358,385.999998062849,277.9999989420176,42.00000235438341,68.00000047683722,vertical_axis,0.0,11
17212,45.13108722288243,352.16725652940465,57.0,72.0,vertical_axis,50.694784868452295,3
