,centerX,centerY,width_box,height_box,axis,rotation,num_labels
92,246.0000001490116,294.99999825656414,106.0000014007091,100.0,vertical_axis,90.19097958145112,4
19031,219.0,60.0,224.0,68.0,horizontal_axis,0.0,13
16431,246.5,277.5,273.0,83.0,vertical_axis,0.0,23
21913,230.5000003799796,143.50000051409006,28.000002562999555,31.00000102818012,vertical_axis,0.0,7
23666,218.00000198185435,64.50000591948594,234.99999817460773,68.00000166892997,vertical_axis,0.0,8
4541,350.5,130.0,93.0,55.0,horizontal_axis,0.0,5
10344,480.5,173.5,74.0,324.0,vertical_axis,0.0,4
7382,61.999827002644736,176.97721925950037,89.0,284.0,vertical_axis,-0.8701936437315538,3
27435,307.5,292.0,33.0,47.0,vertical_axis,0.0,4
21910,155.00000150501728,295.999998241663,32.00000250339497,46.000000804662704,vertical_axis,0.0,3
