,centerX,centerY,width_box,height_box,axis,rotation,num_labels
26818,399.0,288.0,76.0,71.0,horizontal_axis,-53.25763865885082,3
15550,231.3641778653924,199.1448358034819,82.99999835166057,149.00000069033024,vertical_axis,26.950945026519165,17
23500,349.5,252.0,66.0,58.0,horizontal_axis,0.0,8
12125,106.0,305.0,71.0,63.0,vertical_axis,0.0,14
23499,113.0,229.0,77.0,78.0,horizontal_axis,0.0,3
12126,203.5,294.0,74.0,41.0,vertical_axis,0.0,3
12122,155.8089329574588,191.08812231389663,77.0,169.0,vertical_axis,48.7918320676006,10
32826,117.0000041425227,229.4999992698432,68.00000393390644,71.00000086426735,vertical_axis,0.0,15
32361,210.0000006854534,232.49999959021807,80.00000178813929,77.00000034272671,vertical_axis,0.0,7
27345,396.0,287.5,61.0,57.0,vertical_axis,0.0,19
12124,324.5868475903503,203.873646563614,71.0,159.0,vertical_axis,-20.995516254246823,9
34883,105.0,304.0,74.0,78.0,horizontal_axis,0.0,10
28208,209.81153030990868,232.995557429936,70.0,73.0,horizontal_axis,2.7006293373952843,6
34474,324.0,207.0,153.0,77.0,horizontal_axis,70.01689347810002,3
