,centerX,centerY,width_box,height_box,axis,rotation,num_labels
14315,189.0,257.5,130.0,115.0,horizontal_axis,0.0,18
21103,88.00000151991844,392.9999979585409,101.00000147521496,122.99999965727324,horizontal_axis,0.0,9
10014,290.99999785953105,125.00000277625168,85.00000243716755,106.99999985165068,vertical_axis,0.0,14
22659,292.0,392.0,106.0,114.0,vertical_axis,0.0,11
22661,88.0,121.0,106.0,114.0,horizontal_axis,0.0,9
9534,192.0,258.5,104.0,105.0,vertical_axis,0.0,21
34540,88.12901304610017,117.71130595951912,76.0,103.0,vertical_axis,1.1869230594618898,12
13447,190.0,256.0,322.0,506.0,vertical_axis,0.0,13
22658,86.0,393.0,106.0,110.0,vertical_axis,0.0,9
7321,294.0,122.0,113.0,100.0,horizontal_axis,0.0,6
13446,188.0,258.0,322.0,506.0,horizontal_axis,0.0,8
21105,288.99999852478504,390.9999979883432,101.00000147521496,122.99999965727324,horizontal_axis,0.0,6
