,centerX,centerY,width_box,height_box,axis,rotation,num_labels
24611,170.0,179.0,234.0,136.0,vertical_axis,0.0,30
28096,69.02626530529551,318.3190641497299,122.00000116229056,127.99999958276749,vertical_axis,-3.421695575092329,4
3063,313.9230926097296,303.0347892138534,132.0,113.0,vertical_axis,8.501020731653753,4
3199,244.8649423630528,193.25895153759583,51.0,93.0,vertical_axis,1.338540617700971,3
18236,160.0,195.5,200.0,127.0,horizontal_axis,0.0,4
4654,325.0168144241111,303.3864278196754,133.0,115.0,horizontal_axis,8.53076560994812,4
4656,75.12907155517888,320.179144999128,145.0,116.0,horizontal_axis,-14.036243467926496,5
14671,307.7228976516568,488.1814475750885,189.0,100.0,vertical_axis,-30.828100521913186,3
13043,193.5,308.5,383.0,149.0,vertical_axis,0.0,4
16965,192.49999999254945,257.9999999701977,384.9999972432853,259.9999976158143,vertical_axis,0.0,3
