,centerX,centerY,width_box,height_box,axis,rotation,num_labels
27948,183.9999994389057,88.99999936876884,92.99999916615144,43.99999956359329,vertical_axis,0.0,20
19768,187.5000010207296,56.00000169873232,109.00000135600568,111.99999982118608,vertical_axis,0.0,6
25720,296.0,248.0,85.0,148.0,vertical_axis,7.192210494975939,25
924,175.7130776123381,247.92584013419395,92.0,184.0,vertical_axis,17.840544062717044,4
1871,291.99999946355825,277.4999983981252,76.00000184774399,87.0000001937151,horizontal_axis,0.0,3
3695,188.990922291204,205.1344359058995,69.0,63.0,vertical_axis,7.726002334831051,10
33510,300.69897189316714,207.9886556443742,90.00000327825535,48.00000154972077,vertical_axis,4.315971451887066,8
6370,185.0,91.0,93.0,48.0,horizontal_axis,0.0,3
21766,326.534129248039,144.0095595950288,76.0,67.0,vertical_axis,8.675230889067308,4
19770,159.16545924845622,267.3246979521772,61.00000207126135,71.00000043213367,vertical_axis,41.683989192613616,10
31796,229.0,282.0,40.0,54.0,vertical_axis,0.0,7
18138,183.0000010877848,93.0000011473894,200.0,100.0,vertical_axis,0.0,3
