,centerX,centerY,width_box,height_box,axis,rotation,num_labels
16975,113.50000111013652,164.00000137090677,167.00000049173832,223.99999815225607,vertical_axis,0.0,26
22345,233.99999931454656,413.9999976456165,94.00000157952309,187.9999986886978,vertical_axis,0.0,11
5413,236.0,121.0,72.0,190.0,horizontal_axis,0.0,5
16972,232.9999993294477,412.9999976605177,96.00000154972076,189.99999865889555,horizontal_axis,0.0,5
1846,110.9145096260741,161.98166821783036,231.99999952316284,122.99999965727328,vertical_axis,88.51488311988848,4
8349,195.0,276.0,150.0,215.0,vertical_axis,2.6508173375750346,7
16976,166.50000032037497,410.4999976977706,229.9999995529652,198.9999985247851,vertical_axis,0.0,10
26906,234.0,126.0,96.0,190.0,vertical_axis,0.0,19
8567,104.0,410.0,104.0,187.0,vertical_axis,0.0,9
15321,233.0,131.0,200.0,100.0,horizontal_axis,90.0,6
28597,100.04401901930156,411.7514642140279,95.0,193.0,horizontal_axis,0.4685519324925877,3
26512,114.0,160.0,200.0,100.0,horizontal_axis,89.4134796417572,3
