,centerX,centerY,width_box,height_box,axis,rotation,num_labels
25593,443.0,95.5,58.0,83.0,vertical_axis,0.0,8
18875,446.0,288.0,56.0,86.0,vertical_axis,-2.275359137468115,20
10651,240.0,174.0,200.0,100.0,horizontal_axis,0.0,3
12966,446.0,194.0,66.0,284.0,vertical_axis,0.0,4
4250,312.0,209.5,373.0,317.0,vertical_axis,0.0,3
6871,387.99999606609344,289.9999970793725,207.99999976158148,117.99999946355824,vertical_axis,0.0,3
28854,240.0,181.5,200.0,325.0,vertical_axis,0.0,7
18878,330.0,294.0,56.0,74.0,vertical_axis,0.0,13
26519,446.0,96.0,58.0,70.0,horizontal_axis,0.0,4
34191,96.00000238418572,292.4999985024333,58.00000211596489,182.9999987632036,vertical_axis,3.085724539354004,3
