,centerX,centerY,width_box,height_box,axis,rotation,num_labels
29702,75.0,50.0,68.0,100.0,vertical_axis,0.0,11
5089,210.34575151252056,355.307871506734,200.0,485.0,vertical_axis,53.44704579802606,16
33438,73.68342759749407,46.34603492899734,55.0,50.0,horizontal_axis,4.076548122324581,3
26804,88.02770148773902,390.5758910317462,45.0,94.0,vertical_axis,-3.285143733060835,4
23219,122.0,201.5,30.0,42.0,vertical_axis,0.0,4
6873,265.49999971687794,255.00000002980232,59.00000420212734,100.0,vertical_axis,0.0,11
26803,469.4122270369098,176.69964810738225,87.0,94.0,vertical_axis,2.050051533912594,8
29703,263.0,85.0,56.0,90.0,vertical_axis,0.0,10
31581,172.03605777955124,70.68490560985342,272.0,100.0,vertical_axis,3.141129835636093,3
14328,262.0,257.0,200.0,100.0,vertical_axis,0.0,3
