,centerX,centerY,width_box,height_box,axis,rotation,num_labels
390,258.0,344.0,316.0,300.0,vertical_axis,0.0,20
9297,118.50000102445485,142.00000078976154,161.0000002905727,136.99999972432863,vertical_axis,0.0,14
9296,394.4999989680946,89.55555843147962,120.0000005960465,99.0000000074507,vertical_axis,0.0,12
9294,252.50000002607703,334.9999993517995,89.0000008270145,85.00000011175882,vertical_axis,0.0,3
27127,163.0,339.0,108.0,104.0,horizontal_axis,0.0,6
27126,343.0,323.0,108.0,104.0,horizontal_axis,0.0,4
27128,266.0,426.0,108.0,104.0,vertical_axis,0.0,6
27125,242.0,244.0,108.0,104.0,vertical_axis,0.0,8
25326,257.99999991059303,345.4999956414106,321.99999454617523,294.9999912828211,horizontal_axis,0.0,16
30094,118.5,144.0,160.0,136.0,horizontal_axis,0.0,7
12906,257.0,334.0,200.0,100.0,horizontal_axis,0.0,3
25592,255.24087362201283,152.77322643578412,39.0,157.0,vertical_axis,-44.56174535882136,4
25591,393.0,89.0,122.0,94.0,horizontal_axis,0.0,4
15441,256.00000000000006,150.00000146031374,145.0000008195638,96.0000000596047,horizontal_axis,46.78293684118581,3
